emotion;text;rand
fear;i are in the midst of many life changes and it looks like we are going to lose our home but rather than feeling terrified i trust that god always provides other choices and maybe this isnt where we are supposed to be;0.946879672
surprise;ive been soo excited for him to feel and it was amazing;0.787685872
surprise;i still feel overwhelmed and grouchy afterward;0.749728968
disgust;I was disgusted with a friend's behaviour when she got absolutely drunk so that she vomitted all over my house.;0.07119896
fear;i am feeling a bit agitated but that could be because my daughter is throwing a big fit about cleaning her room;0.926856146
disgust;"I had this feeling when I met a girl, not that she was dirty but she was to ""fresh"", dump and childish.";0.022308081
surprise;i am not the only one who feels this way though i am not surprised with my revelation with her;0.288524676
fear;i remember feeling overwhelmed and inadequate kind of like getting a job that you were not qualified for;0.780626991
disgust;I was in the cafeteria at the university and a class-mate told me that a friend of hers had had all her teeth taken out because of an infection caused by her eating a rat's nail in her hamburger.;0.120935995
fear;i was feeling a bit sceptical;0.562943581
disgust;Disgust with myself for consistently making foolish errors in communicating with others (asking for 1/2 Kg of nuts when I only wanted 50 g).;0.61348838
surprise;i really feel that seyfried shone in the epilogue of the film which is something i was a bit surprised about;0.283818561
joy;i can t shake the feeling that my beloved console simply doesn t care about me anymore;0.762616466
surprise;i suppose i do feel rather impressed with the high expectations but not too high;0.219085225
fear;i dont share the same beliefs sometimes on all the core things we agree and so many times i feel like getting uptight and defending myself;0.931478486
sadness;i do not want to feel unimportant or unloved or a nuisance any more;0.361622644
fear;i feel restless and all those negative things appear;0.991605226
surprise;ive mentioned before that i was feeling weird and i added nausea to that so guess what that means;0.045729116
sadness;i took the second test for my cognitive psychology test and i feel mentally exhausted;0.413787235
anger;i was overdressed since i always start to feel cold in the airplane;0.06910997
anger;i feel just as appalled every time;0.732040645
anger;i really feel envious;0.164960655
fear;i always feel vaguely suspicious giving my personal details to random strangers i tell myself not to give her my real date of birth;0.464464136
joy;i mean how a person decides to worship whoever they feel is the divine being in their life;0.371923763
fear;i think that the one good thing that comes out of valentines day is the occasion to lavish people with gifts and not feel bashful about it because you can always attribute it to hey its valentines so shut up and take my gift and bring out that shining happy face because i know you want to;0.417041594
disgust;I was looking after a dying patient at work one night, a young woman, my colleague was talking to her relatives and .... to offer them any support emotionally, physically and then sent them down to the coffee shop to have a dinner rather than offering the facilities available for their use cause it involved her having to do some work. Seeing them again I felt disgusted at her attitude.;0.018427757
disgust;"I feel disgust when hearing or seeing other people being treated 
inhumanely. For example torturing in chili.";0.351229081
sadness;i feel disillusioned the thing that throws the furthest is that i ever had any happy illusions to begin with;0.652138793
disgust;When in my childhood we were forced to take cod-liver oil.;0.045306064
sadness;i always feel so humiliated reader because god s watched me cry a million times screaming in some intangible emotional agony but i bet he wonders when it ll actually be enough for me;0.554749415
disgust;When I saw a film in which the man suffered from an illness and  his skin came peeling off.;0.393716754
disgust;When I met my boyfriend with another girl.;0.444288577
joy;i can no longer do that i feel its just another one of those times where im been convinced of something only for reality to impale me with it;0.211001859
anger;i feel angry ashamed and sad;0.630039896
anger;i feel that i rushed my piece in places and therefore hope to slow down for my next task;0.221298255
sadness;i began to feel doomed;0.157078338
fear;i wish i were more excited about it all but i just feel a bit reluctant about full time work again;0.773028364
surprise;i feel like im losing my mind or maybe im overwhelmed i dont know;0.412332833
joy;i feel like our president needs to have a goal and one strong goal for a subject and not changing it up;0.691721279
fear;im a bit ashamed to admit that but being bare faced makes me feel vulnerable;0.320354837
anger;i feel irate i simply start thinking of kids at my school and then i start feeling great;0.922900543
joy;i was feeling extremely generous last night so my companion ate double and i just told the lion in my stomach to pipe it;0.947842446
sadness;i have been mostly positive but i do have days where i feel discouraged from the bad side effects of the treatment;0.975109066
sadness;i was feeling awful on friday;0.651876261
disgust;"People who came to our home - and requested ""Put out your smoke"". That we should not smoke in our house... and asked not even politely. It disgusted me because I think people need to adapt to the situation.";0.919468445
joy;i feel pretty productive this week;0.285735427
disgust;I am disgusted with the fact that bad singers play at the opera (and not only there) only because they are protegTs or lovers of an important felow while at the same time some young and able singers work in a quite different field of life.;0.11939974
sadness;i had also wondered in the past if you and i could be more but i always thought i was feeling needy during those times or badly about myself;0.746529401
sadness;i feel like a lame wife;0.117273175
surprise;i was feeling funny;0.77688562
disgust;When I was in the army, we got a certain dish for dinner that I do not like at all. We were not obliged to eat, but I was very hungry.;0.46334373
joy;i feel emotionally way more relaxed this time around which is ironic since this pregnancy had a lot of complications;0.975739544
joy;i feel absolutely honoured to have been selected to be a part of such a historic event;0.702383286
joy;i feel ridiculously amused by that;1.14345E-05
fear;im fascinated and appalled that people feel so threatened by my existence as a gay married sexually active bisexual that they try to pass laws to erase my gay married existence and when that fails simply say that my marriage a href http familyscholars;0.629601134
joy;id have good days weeks months but i kept feeling like it cant last life cant be this sweet;0.432508238
fear;i was feeling a little indecisive about what i wanted to do today but then fizzbin wanted to meet up for lunch so we went food cart hunting;0.637156362
sadness;i feel bad about my neck;0.712447747
sadness;i suppose because there is so much to do i feel over burdened;0.044832496
joy;i never thought i would have to go through and to feel these emotions months later is something that i didnt expect but my doctor reassured me why i am feeling this way and its totally normal;0.596991174
disgust;I was disgusted by my paranoid attitude towards myself, my homework at university and disgusted about my lack of retention. Especially in learning another language.;4.22881E-05
anger;i feel selfish if i spend money on myself;0.298999219
sadness;i feel so miserable now;0.49340514
surprise;i find myself thinking about how the students feel which obviously i understand but also i find myself showing teacher like characteristics which has really surprised me;0.380115304
sadness;i was so caught up in feeling like an isolated mental case on the top of a mountain that i wasnt even registering the blessings coming my way and the people that were bringing them;0.478916415
anger;i am feeling stressed out i grab a book workout or take a walk and i feel better than ever but sometimes we need a little bit of a boost to get us going so today im going to talk to you about a product that i received from swaggable;0.115221414
anger;i feel angry i feel angry see me frown see me frown;0.611395336
surprise;i am feeling kinda dazed out;0.040205843
fear;i was there which made me feel vulnerable and shy which perhaps made them think that i was aloof which made them uncomfortable that i was there a vicious circle that pushed us further and further apart;0.449150004
surprise;i told her i just feel funny i dont think this is it i just think something is up;0.842141932
joy;i feel safe enough to nap;0.411494186
surprise;i feel i can use almost anytime anyplace anywhere and i am amazed at the photographs it has produced;0.788023194
sadness;i might have to take a trip out there in the off season when i m feeling homesick;0.057515982
anger;i want to be able to enjoy things and not feel tortured and dissociated all of the time;0.592560061
disgust;I was returning from the Universtity at night when I was accosted by a boy who molested me, passing his hands on my body.;0.078012648
disgust;During my birthday party a friend drank too much alcohol. So much that he had to throw up. Worst of all was that he couldn't leave my friend alone and that he was molesting her.;0.140417348
disgust;When a dog is left whining outside a shop.;0.703377456
fear;i was invited to dinner with my bossman on friday which is most definitely a comforting incredibly invigorating feeling having been through some pretty tortured experiences in past years;0.569799296
anger;i feel much less randomly hostile and my ups and downs have decreased significantly;0.64409735
fear;i feel very frantic and not sure what to do;0.406610774
sadness;i confessed that sometimes it feels like were doomed to be at our house forever;0.477154547
surprise;i just feel they are either amazed shocked or just plain dumbfounded;0.397859571
fear;i got a weird feeling in my tummy and was instantly scared because i had never heard of anything like this;0.120807794
sadness;im noticing how easy it is to waver between excitement and engagement in the everyday the mundane the fun sparkly shiny stuff of life and absolute desperate misery or guilt for not feeling miserable more often;0.193143513
fear;i feel a bit gun shy about failure given i have failed at life and in business my first time out starting seven years ago;0.743129174
disgust;When I saw several people washing their car with water from a drain.;0.786087234
disgust;When I had to sleep in a bed at a hostel, which was full of dirt.;0.394916359
disgust;When I am dirty because I have not had a shower for a few days.;0.585573721
anger;i feel unbelievably vicious which humanizes me just a tad further;0.521687728
anger;i need to take a bath before work because i feel vile;0.022699083
sadness;i feel like im sinking and i feel helpless and that makes me even more frustrated;0.672303024
sadness;i guess i just feel disliked no thats not the right word ignored;0.220490918
disgust;3 years ago I served in the army. Once a collegue denounced me because of a delict, which is usually committed. I was arrested for 3 days. I still detest this man.;0.899580836
anger;i feel greedy and controlling;0.805674301
surprise;i remember feeling shocked at how cold my heart was back then;0.906788623
disgust;When I worked at the life-saving service I was disgusted by a patient whose outward appearance was distasteful.;0.506468196
joy;i feel i have the responsibility to behave in a calm mature manner but that doesnt always happen;0.362246947
sadness;i feel the dull ache of working out and doing it well;0.936861848
sadness;i have hoped and prayed that those feelings would change or at least dull out;0.711211707
joy;i feel gracious;0.576932037
disgust;Disgust with a subordinate.;0.414527028
sadness;i hope we do otherwise im going to be feeling a little foolish;0.170948717
disgust;To be kissed by soembody I didn't expect to.;0.370732697
anger;im feeling stressed right now but ill admit that some of it was my own making and really things could be a lot worse;0.23105001
fear;i feel intimidated or worst repulsed by my physical sppearance;0.784589703
sadness;i just feel so stupid because i dont even know why on the earth are my tears streaming non stop;0.777797856
joy;i am so glad and thankful to feel worm attention of the people and to hear the people say it was delicious;0.712137129
surprise;i feel so overwhelmed with my boys and sometimes i dont know what to do and then i look at the lady across the street coming home with her kids arms loaded with grocery bags and shes always smiling;0.18949293
surprise;i would feel but i do and it is amazing;0.37029576
surprise;i feel amazed and exhausted and alive and also a little bit in love with caitlin horrocks and her words;0.849446717
joy;im just trying to enjoy this this letting myself feel something opening up to someone trusting and loving and having faith;0.245673971
disgust;I had to wash my grandmother because she did not get to the bathroom on time.;0.005627176
fear;i wonder if everyone else is feeling this pressured about it;0.373112852
fear;i am then back in my body but the very fact feels very strange;0.677211085
sadness;i have put a lot of miles on those shoes and i was starting to feel my knee hurt when i ran;0.591957234
anger;i can get through it without feeling envious;0.374257531
fear;i feel very unprotected;0.507635111
surprise;i feel i owe it to the quartz curious to update my views on the subject;0.038690186
surprise;i feel shocked all over again;0.368903828
disgust;My flatmate and close friend living and sleeping with another close friend of mine.;0.781038134
sadness;i feel like a whiner because my pain is really not that bad compared to what many people live with and i still have some hope of recovery while many do not;0.638433922
joy;i guess our feeling is that thats not acceptable;0.480745842
sadness;i feel heartbroken for not only the loss of such a fantastic genius but for someone who gave me somewhere else to go when i had nowhere else;0.864297008
surprise;i ordered stuff online except for shinee goods feeling curious i asked the postman erm are u sure its mine;0.355717954
joy;i don t feel like being friendly to the tsa;0.773386718
surprise;i feel weird saying ciao to people in utah;0.234280615
sadness;i feel and know i am very messy in the kitchen and i really really want to work better in the kitchen so i dont mess up when i do it for reals;0.259953646
joy;i feel like things either happen to me or i witness things where after i look back on it i wish i would have said something especially since it will give me a peaceful mind if i would just speak up;0.375529581
sadness;i want to understand how to be in love so in love with my partner and not feel really terrible about myself when i hear him say wow shes hot or yeah shes fucking amazing;0.818965624
fear;i am feeling like wimpy now ill gladly pay you tuesday for a hamburger today;0.438787371
anger;i began to feel angry with him;0.352890158
joy;i share because i care so feel free to use any of my images as long as they are credited and accompanied by a link back to a href http rantaboutthisandraveaboutthat;0.819373453
anger;i have no idea who you are or if weve got no interests in common then you might wanna leave your fingerprint below in case you catch me on a day when i feel a bit bitchy;0.42837556
disgust;When the Americans set their nucleaar missiles in Europe.;0.750964219
joy;i suppose i feel it s acceptable for someone of a religion i don t necessarily believe in to try and convert someone but i d feel it s less acceptable for an atheist to try and convert that same person to atheism because it pulls them into the negative;0.000220891
anger;i feel like the cardinals have fucked me more times than any other team in picks this season;0.182353038
disgust;I saw a magazine with photographs of dead and maimed people whose limbs were separated from their body like a head on one side and the leg on the other.;0.22846477
anger;i feel myself hiding from you and i know its because youre dangerous;0.242713006
surprise;i bet it feels like an amazing holiday almost for reece lol;0.708765114
sadness;i was beginning to feel quite disheartened;0.251896354
disgust;Accidentally seeing a friend in a compromising situation with a stranger.;0.015715567
fear;i have a feeling i will once again walk out pressured to induce but i just have to remain strong in the face of pressure;0.346351024
fear;i went in there feeling very doubtful very serious and nonetheless i just didnt even want to be there;0.97505477
sadness;im used to feeling helpless;0.53894744
sadness;i did not get a chance to exercise and i feel somewhat defeated and slightly disappointed in myself;0.814860698
joy;i am finally catching up to work that ive missed lots of checkpoints for assignments from tomorrow but the feeling of being on top of it all is terrific;0.360568633
fear;i replied feeling a little agitated at that remark;0.932798285
anger;i can really feel the tone they talk to me very dissatisfied because they plan couldnt be fulfilled;0.890282289
anger;i still feel frustrated but not much as i used to before;0.231249068
disgust;When I was molested by an old drunk man.;0.977470082
surprise;i still feel strange by yall;0.295090444
surprise;i feel like we invent a lot of these stories after the fact and im just curious if we have a good reason to;0.501692028
sadness;im over it but i cant help but feel a little gloomy today;0.962141658
joy;i feel such love for you and i m contented with my life now;0.251864911
anger;i feel gods presence in my life and these petty scrimishes cant spell are merely sibling rivalry in my mind;0.873381354
sadness;i feel like by action the professor is saying your time and your activities are unimportant to me in comparison to whatever i was doing instead;0.823781657
disgust;In a film there was a scene in which a rat was sliding on a bed, leaving a trace of blood behind, finally it entered the mouth of one of the actors.;0.529547877
joy;i have ever done and the fact that i had in essence been forced to leave secure paid employment was even scarier but i will never regret doing it as i am truly happy i am inspired and i feel i am in an industry where i am actually respected and that is amazing;0.01570481
anger;i just wanted to tell you how i feel my relationship is bitter sweet and i cant imagine what my married life would be;0.746455731
joy;im feeling slightly smug to be boarding an easyjet flight and heading south and heading for a temperature of c;0.847734741
surprise;i think and it feels a little weird;0.298800137
sadness;ive been feeling very disheartened lately and i havent really been feeling up to writing lately;0.197084651
disgust;Observation of people lost in the profit motive business managers to their actions especially;0.465242165
anger;i can do that even when i am so called feeling like crap or pissed off or down in the dumps;0.520823036
surprise;i added extra leg room so he could run all he wanted without sleeves feeling funny;0.198177068
fear;i am not feeling like myself anymore because i am constantly nervous;0.004689074
anger;i wouldn t be getting long winded about this had it just been an isolated incident and i hate feeling so cranky over the idea that the arts are thriving to the point where a saturday matinee for the city ballet is so well sold at least in the upper sections;0.553529567
surprise;im just not feeling curious enough right now;0.957798012
disgust;A teacher was very blunt in his relation to a child so that the child was very upset when arriving at home.;0.606854142
sadness;i really loved the cool feeling on my aching knee;0.468264794
fear;i gave up my internship with the dmrg and am feeling distraught;0.112585518
sadness;i can still lose the weight without feeling deprived;0.348833371
fear;i feel aline and scared and confused;0.283526465
sadness;i feel very disillusioned and frustrated with british administration for anguilla;0.116902063
fear;i do not want these problems although he did not himself admitted but i know he and she must be feeling let me fearful it is here why i usually point can not see he is too cunning or i was too silly;0.440033288
joy;i have had such a confidence booster being in this industry and feeling special but starting out as a new model is difficult;0.079380799
fear;i feel like a frightened cat;0.258389629
surprise;i was a bit younger id feel very curious and excited wondering what sorts of presents my father and stepmother or mother had waiting for me on my birthday;0.61988886
joy;im thinking feeling or being inspired by on a daily basis;0.953452301
anger;i feel a bit of furious that time;0.440848649
surprise;i agree with you alexanderplatz does still have a grey drab and un inviting empty feel about it although i was impressed on my last visit at the transformation of what used to be centrum now kaufhof i believe;0.243425428
sadness;i am feeling guilty;0.293762172
disgust;A lecturer in great detail spoke about his sexual experiences.;0.197602748
joy;i feel inspired to share a class post count link href http atnelsonnest;0.067317058
joy;i feeling glamourous i wear something glamourous i feeling more relaxed i put on me feel relaxed so basically fashion expression of person;0.850817213
disgust;In cinema I saw a film which showed how a person was torn out his guts when he was still alive.;0.058642569
anger;i read an interesting article today about accepting that we occasionally feel jealous or insecure or embarrassed or any other myriad of feelings that we find uncomfortable;0.805908887
disgust;The physical appearance of a meal.;0.42117635
disgust;I became disgusted with the man on whom I had counted, who I had trusted, the man who should have been my mainstay - my father. I could hardly make myself (and the others) believe in this emotion. It has cumulated after events and deeds. Everything can happen in this world.;0.877505541
anger;im feeling really bitter;0.737765155
sadness;i do eat around him and it turns out i need to purge ever so bad i feel horrible like i have to ask for permission i have to let him know what im about to do;0.290745009
sadness;i just want to make them happy and i can t and i feel so useless;0.542244682
disgust;On my way home in the middle of the night I saw a drunk man and a woman who were quarreling, beating each other, shouting and so on. I felt disgusted especially because they treated each other in such a degrading way.;0.751204961
disgust;I read about a monk who had been murdered and put into a barrel which was filled with blood of pigs.;0.02277544
anger;i am feeling much bitter than ever;0.712967822
joy;i was feeling the shame of my wife looking at me and thinking he s not smart or handy enough anymore what a loser;0.240446241
surprise;i feel overwhelmed by options;0.508647913
surprise;i could still feel the wetness impressed it tingles a warm feeling that runs from the soles of my feet to the lightheadedness in my head;0.155900594
fear;im this tired i feel especially vulnerable;0.957398657
joy;i feel we should not be supporting these rebels in a violent manner at all and particularly not give them weapons or funding;0.702105297
surprise;i just want to know why my hands are tingling and why my elbow feels weird when i do this;0.973033945
joy;i began to feel eager to leave i felt uncomfortable like an elevator at rush hour;0.95601243
surprise;i was still very much a kid but i remember being told he had died and feeling shocked;0.879126927
sadness;i already had an appointment to see my midwife but moved the time up because i was feeling so awful;0.967425315
sadness;i frequent when i am feeling homesick for homemade russian cooking at a reasonable price;0.982690515
disgust;When I see all the putridness of people. The fact is the catarrh and spits that whash the streets of S.Paulo.;0.957415254
surprise;i feel like i m not even shocked by that anymore;0.988501455
joy;i feel virtuous afterwards;0.917927904
sadness;i look back at the seemingly endless hours i played therapist daily for years to my on the phone and i feel like i ve missed out on a lot;0.661866965
sadness;i definitely feel like i ve been on autopilot for quite some time and i ve finally reached a point where i feel drained completely;0.451662987
disgust;I went to a restaurant with my boyfriend for dinner. There we saw a couple. the man of the couple was a negro and he hadn't manners for eat.;0.438626918
joy;i feel shame for supporting iraq war why can t blair;0.447627054
anger;i feel snobbish saying that;0.019131244
fear;i started to feel like two of my toes were rubbing together weird but the next aid station was a mile away;0.378839494
surprise;i feel like i have been contracting quite a bit like i did with jules so i have been surprised that im not more dilated;0.390747572
anger;i have to admit to feeling bothered by that;0.635814517
sadness;i would feel dumb doing on november st going to a haunted house carving pumpkins watching halloween based movies hocus pocus casper halloween;0.784884952
sadness;i feel the suffering of people a thousand years ago for goodness sake;0.28595791
sadness;i can feel it looking at me like i ve rejected it;0.835431352
disgust;In a sexual experience with an unknown woman where after the sexual act I only could go away without looking backwards.;0.825513297
sadness;i have a feeling that would go over quite badly seeing as how we are hated here for loving the chiefs lmfao;0.129002451
sadness;i feel like i am just a dull small thing that never shows how amazing my maker truly is;0.258953428
sadness;i just get caught up in the fun of the night and the buzz that alcohol gives me and there feels something tragic about having an empty glass;0.857781945
fear;i have no idea how anyone could watch this and not feel a bit like he she is being tortured as well;0.870757746
surprise;i cannot even explain it to myself so i just laugh and smile and feel amazing;0.389134324
fear;im starting to feel very apprehensive about all this;0.661745138
anger;i stop feeling so jealous;0.196218451
fear;i guess its normal to feel this shaken and drained etc at this point;0.287469768
disgust;I do not like one of our neighbours as they are very selfish. Whenever they want something or need help they come to see us, otherwise they do not even bother about people who live next to them.;0.21159337
fear;i care about you a lot but for some reason that was never apparent to me and now that it s been said i feel totally inhibited i can t say anything to them now for fear that they ll stop caring about me if i say something wrong;0.488134077
sadness;i is a high rank with a lot of honor to it and i feel it has been shamed lately;0.907363443
joy;i feel comfortable in front of the house but i would not have been able to do it without my years in the kitchen;0.6119001
surprise;i feel surprised and silent but when my teacher leave me im continue to chat;0.575712367
sadness;i miss my pages i feel groggy and weird;0.674863537
disgust;Each time I am confronted with reports about repression and torture.;0.178145229
anger;i found working out of detroit specialized in christian literature lol im feeling a little grouchy tonight;0.788262982
surprise;i think back to this story it makes me feel very overwhelmed;0.527327117
surprise;i knew i would love her before she was born but i actually feeling is amazing;0.320266601
sadness;i was feeling religiously drained;0.442416698
anger;i feel like i got more pissed than actually learning something because you wouldnt stop saying end it now;0.317979768
disgust;A drunk walked out in front of a car at night. Both lower legs were broken. His shoe was thrown about 50 yards after the accident.;0.236261047
disgust;A colleague of mine asked a lecturer to put him a higher mark in order to keep his good mards and thus to continue getting a scholarship for an excellent grade.;0.344689169
disgust;A friend had a quarrel with the mother of her boyfriend because she and her friend decided to go and live together. She needed money for removal, then she made a great effort to reconcile.;0.509523009
fear;i definitely would not want you to feel pressured to do anything against your will;0.544051721
disgust;About my girlfriend's sister who is a viper as I discovered some time ago.;0.828409867
disgust;Salo, a movie film by Pasolini. People were misused and tortured for the fun of a few elder Italian authorities, during World War II.;0.695003493
surprise;i wasnt even there like a weird dream or something i still feel really dazed and weird;0.062833653
joy;i love travel and out of that developed a love of photography however i began to feel that the type of travel photography i was doing even though it was commercially successful was very unsatisfying and clearly not expressing any of my personality or thoughts on the world;0.321374764
joy;i dont believe theres any difference on a human level i feel convinced there must be;0.521079742
joy;im sure it will slip out at some point and they will stare at me and judge me and feel smugly superior;0.481639703
surprise;i feel in a kind of shocked;0.512980325
fear;im starting a new job on monday and im feeling very apprehensive;0.190047356
joy;i just feel anxiety about forgetting vital things like breast milk at home or not getting my drs note signed;0.768926031
fear;i like the feeling the vulnerable misplaced emotions swarming inside my chest or not;0.2080892
joy;i look at them i feel proud knowing that i made them myself;0.128670034
surprise;i just remember feeling very impressed;0.430008292
anger;i really had to re read that twice and i feel so envious at there ability to be able to do this as i can only dream of handing my notice in as my wage is the only one that can get a mortage so im stuck at my job until i get a house;0.762458907
anger;i feel in a way madee s death because she hated that about me has made me less and less afraid of my feelings because feelings are valid;0.078731496
anger;i checked it was writhing around in agony nearing death i couldnt watch because it made me feel like a heartless murderer;0.515903796
joy;i choose to feel calm and to think more clearly;0.372828483
fear;i spent years walking around the gym feeling absolutely terrified feeling judged feeling small feeling stupid;0.440412907
sadness;i just dont do anything that i feel is worth note so it only makes me look very boring;0.738147062
disgust;We had gone to our native village and I went to visit a tribal group which believes in Goddess Kali. As it was a festival day they had to offer a hen to the Goddess so they cut the head off a hen right in front of my eyes. I felt disgusted and evenb gave up eating meat after this incident.;0.660992232
disgust;Some friends and I were having lunch. Someone said something funny and one of the guys started laughing and spat his food in a girl's face.;0.879496022
sadness;i think i just remembered why i ve never bothered to watch election coverage i m left hoping my guy won but feeling completely helpless while all of these overly made up buffoons pretend to know what they re talking about;0.005775349
anger;i dont know why i just feel really violent;0.098268772
anger;i feel like i get way to pissed or sad at things that other people seem to not even notice;0.617436245
disgust;When I see dead dogs on the road.;0.745294529
fear;i feel hesitant;0.007306282
sadness;i will make sure to walk or do yoga everyday for those are the things that make me happy even if i procrastinate about doing them or use them as my excuse for feeling rotten and stressed because i don t have enough time to do them all;0.622730145
anger;i mean it feels rude somehow;0.918844067
