text;emo
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed;anger
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words;joy
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired;joy
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book;joy
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect;joy
i feel very strongly passionate about when some jerk off decides to poke and make fun of us;joy
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way;sadness
i was feeling listless from the need of new things something different;sadness
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special;joy
on a boat trip to denmark;joy
i stopped feeling cold and began feeling hot;anger
i need to feel the dough to make sure its just perfect;joy
i found myself feeling a little discouraged that morning;sadness
i feel selfish and spoiled;anger
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended;fear
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u;joy
i feel you know basically like a fake in the realm of science fiction;sadness
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave;sadness
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off;joy
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal;joy
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff;joy
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants;fear
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations;fear
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own;anger
i know the pain parents feel when an enraged child becomes violent;anger
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming;sadness
i was feeling brave when i bought it and clearly when i was doing my makeup;joy
i am feeling miserable but c i am also the proudest mum on earth;sadness
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic;sadness
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals;joy
i can feel my ovaries aching talking to me as i like to put it;sadness
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff;sadness
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well;sadness
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs;joy
i think feelings are one of nay the most important things we have;joy
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman;joy
i feel angered and firey;anger
i feel like a miserable piece of garbage;sadness
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything;anger
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner;anger
i remember feeling so hellip furious with the shooter;anger
i feel very happy and excited since i learned so many things;joy
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently;joy
i only have a couple of things left to make and at the start of december i am done and feeling smug;joy
i think about how u could make me feel and realize that everything will be ok;joy
i feel so worthless during those times i was struggling finding work;sadness
i will be able to lay on my bed in the dark and not feel terrified at least for a while;fear
im feeling bitter today my mood has been strange the entire day so i guess its that;anger
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours;sadness
i am letting go of the animosity that is towards anyone that i feel has wronged me;anger
i feel like throwing away the shitty piece of shit paper;sadness
im starting to feel wryly amused at the banal comedy of errors my life is turning into;joy
i find every body beautiful and only want people to feel vital in their bodies;joy
i hear are owners who feel victimized by their associations the associations attorneys or the property manager;sadness
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country;anger
i alba i feel good and im fitting in;joy
i feel excited about what im doing again i feel like i have a ton of catching up to do;joy
i also know how good it feels to look back and see that i honored my word and that helps from the start;joy
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness;sadness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me;joy
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger;joy
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street;joy
finding out that i am not ill not seriously;joy
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling;sadness
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face;joy
i am feeling all useful;joy
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair;sadness
im not feeling homesick yet so im feeling alright about this;sadness
i dance i should feel pretty;joy
i workout every morning before and feel fabulous for it;joy
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain;sadness
i was feeling fabulous until friday morning when i started to get these awful cramps at work;joy
i feel honoured to have been able to call them friends to share their brotherhood;joy
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town;fear
i had stated to her the reason i feel so fearful is because i feel unsafe;fear
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch;fear
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet;sadness
i feel they are pretty safe on my blog img src http s;joy
i feel pretty eager to get it done as i have a fun plan for quilting it;joy
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love;fear
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful;joy
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day;joy
i was still feeling strong;joy
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him;joy
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter;anger
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it;fear
i clench to the corners of the bed to feel assured;joy
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it;anger
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious;anger
i do not feel miserable at all because my family is not the type that celebrates eid;sadness
i might go get a car wash if i am feeling really generous my car needs it;joy
i still feel sleep deprived she is almost sleeping through the night giving us;sadness
i just feel really violent right now;anger
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we;joy
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be;sadness
i feel disgusted to even be associated with this woman by my race and nationality;anger
i laughed then bitterly again but i wasnt feeling bitter;anger
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever;sadness
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold;joy
i told him that maybe i just need time to think how ive been feeling indecisive about things lately;fear
i still feel it does the genre a disservice when stories are resolved artifically;joy
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed;joy
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off;fear
i could feel her whimper to the thought of being unloved and uncared for;sadness
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains;joy
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love;anger
i feel strange coming back to work after my one day holiday;fear
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet;anger
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls;sadness
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either;anger
i feel so sad and hopeless;sadness
im getting the feeling that my classes are a little intimidated by the concept of a lit;fear
i still feel groggy but i have to get up to do the routine for my son;sadness
i have a feeling my view isnt going to be very popular and thats fine;joy
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures;fear
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes;joy
i know there are days in which you feel distracted;anger
i use it regularly with relaxing music and always feel invigorated afterward;joy
im feeling distracted i tend to practice with my eyes shut as much as possible;anger
i feel like its perfect a w see youtube has its influences i even know trends;joy
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol;fear
i also didn t feel very weird sleeping in my bed while the two of them slept in hers;fear
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy;sadness
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now;joy
i hope to feel a bit more creative again soon and miss its presence in my life blog;joy
i am no fan of the current president i am a conservative and it made me feel unwelcome;sadness
i begin to feel complacent with my life here;joy
i feel vulnerable and alone;fear
i remember feeling inspired and thinking that it was a fine example of parenting;joy
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving;sadness
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same;joy
im there i simply feel contented;joy
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone;joy
i think im just being stupid feeling nervous;fear
i feel honored by it;joy
i feel im like a bird flying in the air in a very carefree manner;joy
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended;anger
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me;sadness
i died would alex and matt feel regretful for not coming to visit;sadness
i feel that educating families and supporting and educationg mamas and papas is key;joy
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling;anger
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage;sadness
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly;joy
i feel like i talented young man i don t feel talented then i don t to work with;joy
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy;joy
i feel now so uncomfortable with all of them i guess is me;fear
i feel pretty mellow so far about whatever healing wounding process may be getting underway;joy
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances;fear
i legs would feel shitty for a few miles but would come around like they always do;sadness
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now;fear
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger;sadness
i am feeling pretty restless right now while typing this;fear
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy;sadness
i wrote last year when i was feeling more dull and inarticulate than normal;sadness
id kick myself into gear but i just feel irritable with no motivation what so ever;anger
i feel as a child innocent feelings illustrating a;joy
i will start to feel resentful;anger
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once;sadness
i feel so fucked like everyday of my life;anger
ive worked really hard all year to try to make each child in the class feel like they are valued;joy
i am feeling disheartened with my words as of late;sadness
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off;anger
i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths;joy
i don t feel like eggs benedict i ll have something equally delicious;joy
im feeling my way through and trusting myself;joy
im feeling inspired by all the summery elements of my favorite past time beach bummin;joy
i can feel that she smiled i love you even more gorgeous;joy
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam;sadness
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely;joy
i was feeling over eager and hopped on to the tube to ride the eye of london;joy
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved;sadness
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again;anger
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true;joy
im feeling cranky;anger
i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time;joy
i feel stressed always;sadness
i remember feeling another cramp but i also ignored it;sadness
i hope i feel mellow well fed well slept at peace with myself within this external world;joy
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom;sadness
im feeling awful because we hung out with my friend and her new baby the day before;sadness
i feel very relaxed and fine;joy
i feel the suffering and i really feel the pain;sadness
i go to sleep i feel as if i m giving up precious time to do something else with my life;joy
i feel like i ve been neglecting my beloved mom blog;joy
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx;joy
i just feel terrified like im on the edge of a precipice staring ahead;fear
i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time;sadness
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views;anger
i feel as if i was abused in some way;sadness
im still paying attention but i feel distracted;anger
im hesitant to make suggestions because i feel as if the outcome would not be sincere;joy
i can feel myself gaining control over the damaged goods aspects of my personal security;sadness
i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic;joy
i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe;joy
i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows;joy
i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax;sadness
i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated;joy
i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets;sadness
i have my own mind and i feel like my mind is dangerous to my life;anger
i feel as if i should be punished for neglecting you;sadness
i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially;sadness
i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions;sadness
i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know;sadness
id just had a terrible nightmare and was feeling a little disturbed;sadness
i didnt want to walk passed there just in case the customers feel disturbed;sadness
i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone;sadness
i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good;fear
i am so festive this feels so delicious wheeeeee what a great night;joy
i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain;sadness
im sick of feeling crappy;sadness
i feel like i almost convinced myself this is going to be the pattern;joy
i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us;sadness
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days;anger
i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad;sadness
i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken;joy
i seriouly feel i am not being respected i dont have my privacy i am being ordered around;joy
i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality;joy
i personalities that can feel pain and suffering;sadness
i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet;joy
i was warming up starting feeling a little lethargic;sadness
i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life;joy
i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections;joy
im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come;joy
im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom;sadness
i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling;sadness
ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness;sadness
i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way;fear
i can finally stop feeling listless and like a waste of space;sadness
i know im feeling agitated as it is from a side effect of the too high dose;fear
i do feel a shift in me to being more positive;joy
i am feeling brave enough;joy
fear of thief;fear
i feel clever nov;joy
i always spend more money there than i mean to and feel dissatisfied when i exit the store;anger
im feeling really quite angry;anger
i feel really ashamed;sadness
i finally left feeling judged and ridiculed because i am intelligent;joy
i is starting to feel a bit insulted by this stranger;anger
i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter;sadness
i actually feel sorrowful;sadness
i see women wearing boots i feel envious that i want to curse them;anger
i began to feel each of my senses dull until the cold black unconsciousness over came me;sadness
i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me;joy
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented;anger
i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically;joy
i feel empty when the baby isnt there;sadness
i stopped feeling so exhausted a href http provokingbeauty;sadness
im feeling font friendly;joy
i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon;joy
i always feel intimidated by other people especially when they always compare me to other people ever since i was young;fear
i be made to feel rotten;sadness
i started feeling hostile and i am checking my hemorrhoids;anger
i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them;joy
i just love the feeling of something warmly hugging you and feeling so precious and small precious to someone something;joy
im feeling far more mellow than normal;joy
i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way;joy
i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave;joy
im feeling lucky width li style border px list style outside margin px px;joy
i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues;joy
i didnt say was that strong feelings always make me skeptical at first;fear
i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up;fear
i am beginning to feel that theres a good chance i might pass;joy
i feel like i have a little more control and can help sweet pea better if i know what is ahead;joy
i feel like i m on the receiving end of a violent attack;anger
i feel it is worthwhile to document it for people who are not familiar with batch files;joy
i and i are feeling especially thankful for so many small blessings in our life right now;joy
i am hoping the weatherman is right with his forecast of stay at home dont venture out rain for tomorrow i am feeling all kind of creative;joy
i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside;sadness
i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts;joy
i am feeling is also a blossoming eager anxiety;joy
i feel burdened to share it;sadness
im not feeling the outfit but the heels are gorgeous;joy
i feel confused after that;fear
i feel that the session was useful and gave me tools i need to move forward in my life;joy
i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies;anger
i feel envious and embarrassed;anger
i could feel the frantic need in him the need to make me his;fear
i feel so tranquil right now its great;joy
i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other;anger
i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved;sadness
i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome;sadness
i tend to stop breathing when i m feeling stressed;sadness
i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes;fear
i will go to my mailbox and talk to the mailman then the grocery clerk etc but no matter how small the step or how limited the risk a complete and total willingness to experience whatever thoughts feelings and sensations emerge is important;joy
i am already feeling frantic;fear
i feel like this insecurity is a good thing when i first started writing i pictured it all;joy
i should feel complimented or insulted;anger
i crave as i fall into submission and i did not feel submissive in the least;sadness
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber;anger
i made it to work but i am feeling a little groggy;sadness
ill get round to it this quarter im feeling hopeful about this one;joy
im starting to feel unwelcome in life and some people can already tell this;sadness
i feel absolutely fantastic and i hope baby does too;joy
i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous;joy
i feel bitter and just honkerblonked off in general;anger
i have a feeling that your father already convinced him of that;joy
i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors;joy
i am feeling humorous i put cold callers on hold;joy
i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable;sadness
i feel very privileged but it is also a lot of work;joy
im pretty happy but a little on the nauseated side to feel thrilled;joy
i close my eyes i can hear the pitiful wailing sounds of my own cries taste the salty taste of my tears and feel that anger and hurt saturating my heart;sadness
im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage;anger
i feel like im putting an innocent man on death row;joy
i wasn t sure what else to do to help her feel smart;joy
i feel is thankful for the lessons i m learning;joy
i hope you can feel glad that she gave you so many things including memories that you can cherish;joy
i am feeling pretty worthless right now;sadness
i feel some of my projects are clever and useful enough i figured i would start sharing them on instructables so i wrote my first one this weekend;joy
i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused;sadness
i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen;fear
i do feel envious of those with kids at certain moments;anger
i was feeling like a pretty crappy mom;sadness
im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week;anger
im not scared at all anymore im fine i feel terrific about the surgery;joy
i still feel vulnerable around him;fear
im then left feeling quite embarrassed as i say that nothings new;sadness
i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse;sadness
i may or may not have cried when thanking them for making my children feel so special and loved;joy
i feel burdened for several loved ones and i miss my big kid whom i havent seen since friday;sadness
i feel is still really low in my abdomen;sadness
i feel like i ve been welcomed a tight knit family who ll make sure i won t feel alone ever;joy
i feel this is doubtful;fear
i usually use smaller legos however this year i have a few students with fine motor delays and i want all my students to feel successful;joy
i get some exercise and feel like im doing something worthwhile in the meantime;joy
i feel like my life is very rich and fulfilling but i know people look at the way i live and feel some misplaced pity for me;joy
i feel hesitant about talking about this;fear
i try to get in at least minutes a day five days a week though i have been known to skip a workout if i m feeling particularly lethargic or lazy;sadness
i have been feeling beaten down sick and utterly devoid of hope that i will ever have the life i want;sadness
i feel hesitant to comment because i don t want to add to a pileon but it seems clear to me that those involved haven t learned from their past experiences nor are they interested in applying that learning to future projects;fear
im feeling happy and well;joy
i find myself having much more time to think about myself without feeling depressed to actually be able to write and imagine without feeling trapped or like i am missing out on something a near constant feeling i have in cities;sadness
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity;joy
i feel like ive had to fake my feelings a lot more often then i would have liked to;sadness
i were feeling energetic so we decided we were going to bike to the rest of the temples;joy
im really like she said only you can understand the way i feel toni ight she blamed excesses on the merican dream so seldom witnessed never er seen hah hah hah hah hah;sadness
i am happpy when i get good results in the field of academics or athletics;joy
i dont know where i want to work because there will always be something that makes me feel stressed or anxious at work whatever the job may be as all jobs require some sort of rules or pressure;sadness
id pop out of the chair feeling like i should be doing something more worthwhile;joy
i was really hoping that theyd get far enough ahead of us that we could feel like we were doing our own navigating so i was delighted when after punching the second control they headed off onto a trail through the woods;joy
i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size;anger
i wonder how many people are against my do it only when you feel like it perspective but i think if you do it for the sake of doing it without wanting to do it then it will turn out to be the result of crappy work;sadness
i feel indecisive on whether or not i feel the book huckleberry finn should be censored;fear
i should have known she likes kamiki kun he laughs nozomi feels an unpleasant knot in her stomach you must think i m a fool don t you nonchan;sadness
i made the choice to start recognizing when that feeling of being unloved kicks in and to choose to keep my persistence at the same level not allowing that old reaction to shut me down;sadness
i feel like im more hated than celebrated and i cant wait till the day i can say i made it;anger
i feel very comfortable with this decision;joy
i have been feeling so overwhelmed lately;fear
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them;anger
i didnt feel that welcomed when i first entered morris quickly changed that and i left feeling very happy;joy
im contemplating and feeling skeptical;fear
ive become anxious about in recent times is this there is certainly a feeling amongst some people of belief that they are under siege that they are often disadvantaged that they are looked at and considered in some way different and their faith makes them less worthy of regard he said;sadness
i feel like i should care that im a bit heartless not to;anger
i hate chemo and the thought of having toxins washing through every single cell and making me feel horrible makes me cringe;sadness
i feel so honoured to have hosted this series to have such talented a;joy
i love him but i feel threatened with him around a little;fear
i feel after reading allthingsbucks blog which brought tears to my eyes and a lump in my throat and a feeling of not having a worthwhile thing to be upset about that i shouldnt write such a lame blog;joy
i was feeling determined it didnt take long for me to start nomming on naughty stuff again;joy
i feel honored to be with many wonderful artists and to display my work for the public to see;joy
i just remember being so fully stressed out and while i had fun i feel it could have been more lively;joy
i feel bitchy because i am hurting too;anger
i always feel like ive been assaulted by his pics;sadness
im not only thankful that everything seems to be working out as i wrap week at my new job but also feeling pretty lucky to have the people we do in our lives;joy
i feel incredibly isolated and lonely;sadness
