emo;text
anger;@Shiraori24010 @BostonJohnta @ennu_1 You never played/payed attention to hi3 and Hsr and it shows ️️️️
love;@sillyjoshuaa HSR and Wuwa both having their mcs have canon girlfriends
joy;@notgunn These back muscles are gonna put HSR on my TL...again
surprise;@swanturine I really am curious and excited about chronically ill alhaitham as a chronically ill person
surprise;@Rose_Malice He's not even top 5 for me ️
joy;@EZAFFFAAAAA @TheHibikiAo I always had the active skill pretty easily with them but yeah maybe i'm just too good at the game.
love;first thing i did on my new phone was redownload hsr AND I GOT FEIXIAO??? on like 30 pity?? like yea i had guaranteed but GODDAMN. dragging me back into the abyss with candy i see u hoyo
love;@4thHarbringer looks good ngl
fear;@StarRailVerse1 Played bc new hoyo game got bored pulled back in by jingliu in 1.3 (or 1.4??) Then stayed until Aventurine came out in 2.1 then got addicted to Aventurine- i mean hsr
sadness;2.5 hsr quest really messed me up...
anger;@OofieTV Zzz and hsr are boring as fuck Mihoyo just can't make fun games
sadness;hwy do i want to draw every single time i have to do work.............. like im trying to do LATIN HW not make my hsr oc designs
surprise;@ICherishNahida @sillygirlclo The exact opinion I had after finding out hsr will have one unlike hi3rd
surprise;my entire tl is filled with games I don't even play I must've accidentally liked something please send me hsr stuff
surprise;did yall know an alternative name for zhongshi was stoneheart but then i learnt the mfs in hsr are called stonehearts
surprise;sometimes wonder if i'll ever top that post. 24k likes...can you imagine thats my impact on the world. a hsr shitpost
sadness;i know i said id pull for dan heng when i first started hsr but well.... well! if im really bored i might just pull for acheron's light sig
fear;@MissMapleStar My wallet would have been in great peril
love;One of the reasons why I m glad I ship renheng lol Bc it s such a popular ship I KNOW I wouldn t be able to avoid it if I was an anti
love;Now that I'm replaying Penacony on my second account... I think I'm starting to understand why I like Sunday. I think I have a soft spot for characters who have at their core a good heart and good intentions but choose the wrong way to go about realizing those intentions.
surprise;@catriart Yeah sorry I didn't mean to come off rude or like trying to take a dig at ToT. But it feels a bit silly to compare male fanservice in a game like ZZZ or HSR or Genshin to the male fanservice in a game like ToT which as a dating sim is like kinda centered on male fanservice lol
love;I drew flowers on the paper which I had carefully written about my fruitless days － flos / R Sound Design Clovers『Luck』 #Aventurine #AventurineHSR #HonkaiStarRail #HSR #HSRFanart https://t.co/eqdmeO5cC7
joy;@daiIyidol Hmm...looks cool now just give me more time to prepare.
joy;Got hit by the urge to draw my hsr body types headcanons
sadness;@Miilky_y @luvistarzii //I guess it was also a problem with me cause it don t do well with auto mode I need something more interactive and Hsr just isn t that for me :(((
fear;@aegis1124 Wait wait sorry there was a box to send request? I didn't see!
joy;I say this as I am literally playing hsr with him in the background
love;the BEST hsr team trust https://t.co/CiP0ltryQg
joy;hsr account reviews are so funny bc it's proof that throwing money into the game doesn't change your shit relic luck or lack of effort put into chars at all.. some whales have worse accounts than me
surprise;@TheHibikiAo @EZAFFFAAAAA Nah they were really good. Whenever you fused into gogeta you basically won any fight at the time.
love;I played the new HSR event it was so cute! I loved it 
love;@JulieChangRE I would love to take a HSR from the OC to SD and hang out
love;I fucking love how tired Dan Heng sounds at certain points during the part of the Penacony story where he's at the hotel with Boothill. My man is SUFFERING lol.
sadness;@ssusu_summi I'm not familiar with HSR what did this guy do
anger;@the_transit_guy And why do we need HSR connecting these regions together? HSR and other forms of transit are far more useful WITHIN these regions.
anger;@scararin What the fuck am I looking at I've seen worse tho
anger;@darlingtyphoon I HAVE SO MANY FROM HSR BUT HOYOVERSE IS SO SHITTY
anger;Hoyoverse if you were smart you'd add an adult male model nerd guy with glasses that looks like he whimpers in hsr just for me
joy;@JustANerdy_Gal Agreed every game can be played standalone but it is more immersing playing em in order
joy;@xinunh0ly literally me.. everytime I play hsr I forget how to properly use my teams LMAO
surprise;@breadunderscore What's wrong with hsr though..? I get zzz bc its goonerbait
joy;Proof 904 primo rewards from the event thanks! https://t.co/ld2Wx2TzmK
surprise;@DolphinBanana1 You mean Scara? Oh there s this character from hsr named Sunday who is in similar circumstances as Scaramouche was in the sense that both of their fans have had to wait way longer than normal to be playable - and he s leaked to finally be drip marketed on October 8th
sadness;@ThunderWolf08 Also we should focus on offering high speed options (like HSR) but at a smaller scale. Intercity HSR that is more than 50 miles is most likely pointless. Transit should serve where people are commuting at the highest densities.
joy;Even grinding Genshin/HSR is way more productive than playing comp valorant
love;the day i get a proper laptop where im able to download an actual game is when my phone will thank god like no more hsr
anger;@ThunderWolf08 That argument is irrelevant. The main point is HSR is the most useless form of transit and if we want to start somewhere we should focus on light rail and buses. HSR can come after all of that is done.
fear;Praying everyday HSR gets a mega revamp for cutscenes cause after watching more ZZZ one s good lord star rail might as well have t posing models standing there 
sadness;I think the Benadryl is coming back for round two I m so tired at fucking 3pm wtf
love;"I asked my moots who play HSR if I should try it out and they all said yes. So I did &amp; I love the game"
surprise;Been back on Nikke longer than expected probably cause there s literally nothing to do in HSR
love;I love that there s all these cool names like Ichigo but then theres CHAD 
fear;@shawtiell I used to I quit HSR after Jing Liu I played and quit Genshin after Itto Honkai impact I played for a but lost interest ZZZ I didn't really get into tbh (I didn't pull Lycaon so I didn't bother Lmao)
joy;// HSR LEAKS WAIT I CAN GET ACHERON NOW YAY
sadness;@Nezumi1359477 hsr wuwa a little bit of genshin oh and i tried red dead last night for like an hour it was kinda fun
surprise;@skadi_hsr Kinda emo and smart vibes
anger;"@abyss__dweller I think their mindset of academic intellect &gt; practical skills and the arts really showed because imagine calling one of the few HSR characters EXPLICITLY stated to be intelligent a dumbass "
love;@bigballmcg33 plzzzzz i live love love her:( i would love to do a genshin or hsr cos but theyre like.. hella pieces its must be expensive
surprise;fever has gone down and i feel a bit better! i'll play some hsr on my phone and chill in bed :3
fear;@strawbxrrymoon u can't use ur main for a day (genshin/HSR) (or next battle if you'd like that instead?)
fear;vote toya and I'll assign you a genshin character (maybe hsr too but Idk most of hsr characters because I play rarely)
fear;@eve_045 wont hsr look really good though
love;@moscheeks Ty for hosting! hsr charms are my fav ️
joy;@YuriAdmiral Kinda the same here i redownloaded HSR to save up for the collab but after a week it just became a chore and gave Genshin another shot. Now I spend 10 min for daily then log off lol
love;@sidillusts March my favorite HSR girl what a lovely selfie 
love;"@Chromietizir LOVE U TOO CHROMA MY LOVELIEST HEHE &lt;333"
love;@visualritsu if you had HSR i would ve said yes 
sadness;@hivegodluvr @honkaistarrail same im still not over that it wasnt in the previous vol. literaly the only track from 2.1 that was left alone.
joy;bro that new hsr guy voiced by shu ituski shouls i play zzz
sadness;fully on that hsr grind today I am so bad at this game
surprise;@honkaistarrail finally aventurine pv music is out there it took you long enough im still questioning it why wasnt part of the previous vol. but im gratefull we got more original music to listen to
love;I can't believe only few of players got him like.. I loved him since fist seen him #Boothill #HSR https://t.co/7F0QJ8YQ4Z
surprise;@gaggytrondra Im OBESEE omg but i don't have enough time and attention to play another gacha hsr and wuwa already whooping my arse
love;Well I can happily say that ZZZ is becoming my favourite Hoyo game. Not only have I a Ranked Every Node but have every single side quest done in it as well I can say that for HSR/Genshin https://t.co/opQMrvrPd8
sadness;@luvistarzii Nah not bored just hop in create 4-5 resins do coms use those resins and exit until any new update. Do the same in hsr or wuwa until any new update.
love;Luka hsr i missed u sm 
fear;hope zzz isn't like genshin and hsr where they relese one mandatory poc character t the start of the game and never again
fear;@ppdgrandpa @catriart Tbh is better if they're not that popular bc that means less toxicity. I wouldn't like it to be like GI or HSR
love;The way id do the hsr event in a heartbeat if it was released back when i was a Luka simp 
surprise;@ieepie Yes omg inlove these
surprise;@AvenMeadow OMGG HI AVENTURINEEE DID U GAMBLE TODAY
love;@Ksenia_L1485 LOVE U TOOO U ARE A SWEETHEART
joy;"@NHL He better or I will be coming for everyones kneecaps &lt;3 He is very active within the Nashville community and a star player."
anger;When I see a ship I despise on the TL https://t.co/0H3pLyhlzo
love;@TheSashaExpress It s so fucking funny I love Elden Ring!!
anger;"@Rivan126 this is genshin iirc? my zzz &amp; genshin absorb all my bad luck. And HSR/WuWa has all my good luck (which is nice cuz those are the two I care about most anyways)"
surprise;@_absolutelyash_ MY TWIN APPROVES ME THATS A BIG W! I APPROVE YOU AS A LEGENDARY MOOTIE 
joy;@TheSashaExpress I did this cause I took a Benadryl last night lmaoo
love;@mierinyuu AHSHSUSHS YOU FLATTER MEEE I REALLY LOVE UR VIBES AND FEEL THAT YOU ARE TOO COOL TOO I WANNA BE FRIENDS WITH YOU 
joy;this only applies to genshin. hsr has great in game models
sadness;E6S5 Kafka is probably my next HSR gacha goal after I E6S5 Rin if we get her in the UBW Collab. This is probably a very miserable way of playing the game but Idgaf. There is an unfathomably large gap between how much I love Kafka versus every other character in the game. https://t.co/bShYkLk6wv
love;"@lesskura NOOO I LOVE U SM &lt;3333"
joy;@comfycafes yes im 1.0 hsr player and i ever won 5x in a row
surprise;@FamGuyMoments77 I almost forgot my hsr weeklies too ty for accidentally reminding me lol
love;Private night with Firefly ️ (Honkai Star Rail) #HonkaiStarRail #HSR #崩坏星穹铁道 #崩壊スターレイル #Firefly #流萤 https://t.co/hDidPYzxBL
surprise;JUST REALIZED I WASNT FOLLOWING OOMF WHO ALSO LIKES LUKE???!?!? I feel ..
surprise;Just realized rook and argenti hsr are so similar finding beauty in everything
joy;lmao i really started playing hsr and grind enough to pull for acheron before dipping out from the game‍️ (had to delete hsr for genshin updates ksks)
sadness;@Chipo1011 @zyum_d i need to start doing the same but i always fell for the drama anyway...i don't have friends to talk about honkai T_T they only play genshin or hsr
love;"@rinrinator22 AND I AM GONNA COUNTER WITH I LOVE U MOREEE &lt;3333"
anger;@ilykevinday I hate eggs even if they r good for u. I scarf them down so I do not taste them
surprise;@xeyeatsrocks Pro choice. Idgaf what u do !!
love;This was a old drawing but Fu xuan is so cute #hsr #HSRFanart #FuXuan #fanart https://t.co/HrgQeA9kKp
joy;@Sulkysdolls THE CUNTY PHOTOS
anger;@ilykevinday EXACTLY I HATE EGGS
love;"Luke of u see this hello. I would do all of that for u &lt;3"
love;"@ObanaiPetSnake THERES JUST SO MUCH ADORABLE ENERGY OUT OF U I WILL GIVE U THE MOST WHOLESOME HUGS &lt;3333"
sadness;@DamanMills I'm 100% sure that Blade is the most anticipated character in HSR right now alongside Kafka. IT'S NOT FUNNY HOW MUCH WE MISS HIM DAMAN
love;@Ramuda48 I LOVE UUU TOO!!
joy;This is the type of face u paint and write poems about and go to war for https://t.co/IBW8znaTAG
love;"ASKING YOU LOVELIESSS PLEASE DONT MISS THIS &lt;333"
joy;@SteamyGaySeks @ennu_1 The daily farming is identical to HSR so...
joy;@PoppersRockz You ve been playing too much HSR https://t.co/qsWe31pAv2
fear;The way ichigo said im gone and the way he walked away 
fear;i hope everyone noticed my bottom ratio agenda #aventio #ratiorine #hsr #HonkaiStatRail #drratio #aventurine https://t.co/jWkLC8rZxD
anger;the changeup on Sunday by 𝘵𝘩𝘰𝘴𝘦 hsr players is gonna be insane once he joins the AE
anger;As for the HSR design well... it is what it is I guess. They keep releasing chars every single patch repetition and quality gaps between chars is just cause and effect at that point even down to gameplay aspect (buff/rework boothill please i fucking beg you)
joy;hsr story genuinely had me in tears in penacony i love ts so much and the fact that every boss I ve fought has had a unique mechanic (something unto death was my fav) like this game keeps on getting better i can t believe i stopped playing in the lufou
anger;@farzan_ali_b99 @GavinNewsom Republicans don t even believe in climate change Republicans are pro-car and anti-high speed rail (HSR). At least CA is currently building HSR.
anger;My dad woke me up at around 8:30 PM... its not looking well for my sleep scedule.. https://t.co/HNYiGN49aO
sadness;@JulieChangRE The lack of HSR here is so sad. I just got back from Europe and I m always so impressed with their rail network. To be able to hop on a train and get to a city that s a 2 hour drive in an hour on the train is such a game changer
surprise;@haru_picasso bro- I NEED HIM... IF I DONT GET HIM TMR ITS SOO OVER
sadness;@haru_picasso HELP its like her critrate is fine but at what cost...
love;@NetherMan109 ILYY UR ALWAYS PRECIOUS TO ME
joy;Yes I support this. She would main Serval in hsr too xD
love;i'm in love with the dragonbreath event https://t.co/rudxNEhtgR
joy;@TimelyZhuming THATS MY OOMFIE!! CONGRATTSS
joy;"@Elithegayone NIXXX &lt;3333 I ALWAYS LOOK FORWARD TO YOUR TWEETS"
love;"@onepuzzledbee THANK UUU CARTERRR ILYSM &lt;33 HUGGYYY HUGGYYY!!"
joy;@verteksik THE BIGGER SWEETIE IS UUU
love;i thought i saw beautiful yuri on my timeline but it was the two fucking hsr nerds (aven and ratio)
joy;@Lifei06 WISHING U THE BEST ON UR PULLS!! I HOPE U GET IT EARLY
anger;this is obviously rage bait but i actually giggled at the hsr one
joy;@pleniluneskies IM SO EXCITED
sadness;@Melipiloting yeah had to set it there after the game keeps saying i have problem with my wifi even tho i can play other games at highest KAJDHKSAFK
love;life update: Addicted to HSR
surprise;@gurofr0t idk how hsr fits the whiny spot is already taken by zzz and so is the older brother but the community ain't chill so idk
love;I miss you sm king 
fear;@reevedthrnd Should I delete hsr for Wuwa? I alr have an account from 1.0 but I quit due to storage reasons
fear;@yukongkisser i think they meant genshin not hyv bc that just does not fit hsr at all everything is incredibly accurate bc hsr designs are actually good
love;"@MissMeguca YOU ARE REALLY REALLY SPECIAL TO MEE &lt;3333"
sadness;new kafka hsr merch.. im not gonna buy it.. im just thinking about it..
anger;@dainsleifhawt Low graphics lol
anger;@UriParadise_ One day I to will have the Huohuo. Hsr is a pain to farm cause there s so many wasted stats and you can t sub any pieces of gear using an offset.
anger;@Silver__Hamster I mean he's one foot in might as well put the other in.
love;@evthymias MY CUTE FRIENDOOO ME HUGS U 
joy;"@i69guts AWWW THATS NICEEE &lt;3333 I WANNA TRAVEL TO DUBAIIII !!"
joy;@StarlightShimm3 yeah that's why it's a guess game hahah yes I'm 18
anger;My anti HSR group is against HSR because it's a ludicrously expensive pipe dream which will never happen while the energy and money could be used to run the trains we have three times a day instead of three times a week. And maybe cleaning the bathrooms on the trains once in a
love;just got a happy birthday message from hsr that s saur cute
joy;The RT to quote ratio is really funny lmfao
surprise;Telling someone that Kafka hsr is actually based on Franz Kafka was not on what I expected to do today-
anger;@HourlyWeltYang As a blade fan I feel u let our characters out of the basement MHY!!
anger;There's so much that needs doing - From zoning to HSR - and she's dancing? Shame on her
surprise;@InkCinna I love the collective reaction of the GENIUSES?? SAMPO? WAIT FUCKING AHA? 
love;"@AkumaOnGenshin ILY SO SO MUCH IMMA GIVE U HUGGYYY &lt;3333"
surprise;@yuzugirikiss i was abt to type what is hsr even abt bc it looks like those things in penacony
anger;To me everything HYV could've made awful in some way they did. Even the music - which is usually wonderful - is just not it besides one or two tracks.
love;@nightcakey ILYTOOO UR LAYOUT IS SO PRETTY 
joy;Imagine if there was a female character with similar build as Barghest in HSR . GOD E6 directly.
anger;OKAY I DIDN'T FIX ALL THE ISSUES BUT I'VE BEEN LIVE FOR TWO HOURS AND WE'RE JUST NOW GETTING STARTED WITH HSR- Come keep me company~? https://t.co/HfNMWQiDhw https://t.co/LJPyF2Ra7O
joy;........at the time i was obsessed with a girl out of loneliness and i knew she was playing hsr so 
love;@sparXenpai THIS IS WHY U GET MY PLATONIC KISSES NOW 
anger;@DimPacifistV2 what the hell i still remember when you were taking requests for those hsr chat edits
love;@kyokiiro AND ME LOVES U MORE THE BEST OF THE BEST 
anger;GIVE US MORE MALE CHARACTERS PLEASE 
anger;A narrative point I'll highlight in HSR is how Lingsha is still incredibly salty at Jing Yuan for banishing her master. She genuinely keeps him at an arm's length and while she says she doesn't hold a grudge she still doesn't find him as favorable even after learning the truth.
anger;Some may disagree but I much prefer how HSR handles it with multiple POVs as it allows the TB not to be the center of attention unless needed. March 7th can go on her own adventure Dan Heng will outright refuse to go on expeditions. It makes the characters feel more lively.
anger;I didn't think I could hate a nation as much as I hate Inazuma. Then Natlan happened.
sadness;@MystMasterX Ah nice how is HSR and zzz treating you? I played wuwa but dropped it.
joy;@lir0si3 HIS EYES PLS
love;"@housesofgoldd ILYTOOO UR SO COOOL &lt;3333"
anger;@diana114754242 oh is that how he normally looks at lowest quality? i play at highest but had to lower it bcs the game suddenly wont let me in
sadness;@onepiecehater mind you hsr aint even open world theyve fs never played any other game before 
joy;@morifinwess @therealmairon Cause hsr is a game I enjoyed once
joy;@sutenzia GONNA WORK FOR IT TILL IT SHOWS UP ON TL MORE ^___^
fear;so i got another early card from the standard banner tell me why does he look like that https://t.co/516VoVChtU
love;"@royaltiyy ME LOVES U SO SO MUCH TOOO HUGGYYY &lt;333"
sadness;@3sh44444 @NuggetsItz @hxg_diluc There's very few things that have not happened since HSR's launch Shenhe's rerun being one of particular notes There are however plenty of things that haven't happened since ZZZ's launch The reruns being my main examples lol Therefore the ZZZ comparison just falls flat imo
joy;//I'm gonna catch up to hsr now I'm still at the end of penacony
joy;guys i've played hsr and genshin like twice the past two months i think i'm free
sadness;@prevailingvines ITS SO BORING I LOG ON ONCE EVERY 2 MONTHS FOR A SPLIT SECOND THEN I HOP OFF NOT EVEN NATLAN IS FUN .. SAME WITH HSR ITS SO .. BORING
surprise;Mf if she's crazy than what are you?!
love;@rtawahism NAVIA WOULD LOOK SO CUTE ON U!! navia or clorinde.. or jingliu from hsr 
joy;@scaryfriday13th SO ARE YOU!! YOU DESERVE THEM FOR BEING YOU
joy;"@ruikasayuri ME IS HAPPYY TOO BC U ARE &lt;3333"
surprise;@StarRailVerse1 mainly cause hoyo game. started playing since launch with VERY low expectations cause I hated turn based gameplay. Lol fell in love with the gameplay and now hsr is my fav game
surprise;not opal IM SO HAPPY THE VIRTUAL IDOLS FINALLY GOT LEAKS
fear;they made a hsr character who is damn near a carbon copy of all my previous crushes n i think i should be shot immediately
surprise;Im so confused with all this but im amused tht the only thing abt hsr is the fact tht they have a lot of chinese characters lolllll
surprise;@TakeshitaFan Absolutely up until the finish this was amazing
joy;@03Simu2005 @saou0345 Sadly very probable too
anger;@gnobruh I was so close rapping to my mother language atp with how mad I am that I didn't get her sooner I WAS SO CONFIDENT ILL GET HER IMMEDIATELY Guess my luck only stays in hsr and genshin huh BUT AT LEAST I GOT HER
sadness;@mooeyooey @arlecchinopilot @laicpursuit_ GIRL WE ARE IN PUBLIC HAVE SHAME
surprise;@luminaur IT BROKE OMG IM 
joy;@aven7th truly one of the stories
sadness;I miss my baby girl #aventurine #hsr #Honkai_Star_Rail https://t.co/4OB4fNFECF
love;"@JustABoyOnlineX ILY SO MUCH MORE JAMELLL HUGGYYY &lt;333"
love;"@minemo653 ONG I LOVE UUU &lt;3333"
love;"@sorrowdollzz LOVE U MORE LUNAAA &lt;3333"
love;@ShiroMatsunoki ILY TONS MORE YOU ARE TOO PRECIOUS TO MEEE 
joy;@arlecchinopilot Will it be for hsr as well ?
joy;@im_a_redflag DO U WANNA JOIN A HSR USER GC?
love;@armorcadance ILYMORE MEGAAA MY LOVELY FRIENDOOO 
love;"@Chanisa_Jane ME LOVES U MORE UR SO SO PRECIOUS PLS &lt;3333 ANOTHER DAY ANOTHER WINNN"
joy;ngl idk what i d be doing rn if i never got to see dh catching jy in his arms during 1.2 like that really was the catalyst to my jh journey. there has Never been another hsr pairing (or other existing hoyo pairs) that has mesmerized fascinated me truly won me over like jh did! https://t.co/xZ71AacaQN
surprise;Hilariously I ve never actually played Genshin until last night (Ash has been playing for years I ve always watched them play main story stuff. But they ve been so into HSR lately that I missed Genshin). So Ash was like Here. This is how you play. 
sadness;@lotus__Wisdom @AbhishBanerj High speed rails won't improve a single thing in existing railways. And that should be the priority. Existing railways are going from bad to worse and will further deteriorate if more funds are diverted towards HSR. Not to mention the massive debt incurred by HSR.
sadness;shoot its 23.30 at night and i havent done my two assignment and hsr daily and dti (personal daily)
fear;@milayadariko You kinda agree with me then. There is no reason to put mlm if the audience isn't as into it which is why they didn't. Censorship was a secondary factor. It's the same in HSR Aven never touched Caelus while they danced unlike Acheswan. We know why we do... wlw ️ mlm ️
fear;@lemah_c_j @8NewsNow shared rail to include HSR route is not practical.
surprise;@iAstralWarrior i didnt play hsr after the penacony story who even is that behind feixiao idgi
sadness;@StarRailVerse1 i used to promise myself to never play a gacha game ever cuz i thought they were ass then i got my first breakup and immediately downloaded HSR cuz that was the first game i thought of LMAO
sadness;They shoulda made that hsr boothill character creamy brown. Missed opportunity to market to the Latino people of the world
surprise;@03Simu2005 @saou0345 Holy fuck then hope this leads to actual less censorship then
anger;@Moongemszz @roseinharlem @Go_Jover It means you're a fucking bubonic plague and no one wants to hear your retarded takes your mentally ill group of people ruined Genshin and HSR
